\fixlen = T
|set|Period       |Power       |
|int|double       |double      |
 0   25.0000000000 1.0317971610 
 0   25.1000000000 1.0244055517 
 0   25.2000000000 1.0168212954 
 0   25.3000000000 1.0090421769 
 0   25.4000000000 1.0010669800 
 0   25.5000000000 0.9928954664 
 0   25.6000000000 0.9845283513 
 0   25.7000000000 0.9759672743 
 0   25.8000000000 0.9672147649 
 0   25.9000000000 0.9582742050 
 0   26.0000000000 0.9491497873 
 0   26.1000000000 0.9398464717 
 0   26.2000000000 0.9303699365 
 0   26.3000000000 0.9207265298 
 0   26.4000000000 0.9109232160 
 0   26.5000000000 0.9009675240 
 0   26.6000000000 0.8908674915 
 0   26.7000000000 0.8806316098 
 0   26.8000000000 0.8702687675 
 0   26.9000000000 0.8597881955 
 0   27.0000000000 0.8491994116 
 0   27.1000000000 0.8385121654 
 0   27.2000000000 0.8277363863 
 0   27.3000000000 0.8168821310 
 0   27.4000000000 0.8059595337 
 0   27.5000000000 0.7949787582 
 0   27.6000000000 0.7839499532 
 0   27.7000000000 0.7728832083 
 0   27.8000000000 0.7617885145 
 0   27.9000000000 0.7506757257 
 0   28.0000000000 0.7395545249 
 0   28.1000000000 0.7284343920 
 0   28.2000000000 0.7173245751 
 0   28.3000000000 0.7062340648 
 0   28.4000000000 0.6951715711 
 0   28.5000000000 0.6841455037 
 0   28.6000000000 0.6731639543 
 0   28.7000000000 0.6622346831 
 0   28.8000000000 0.6513651064 
 0   28.9000000000 0.6405622875 
 0   29.0000000000 0.6298329300 
 0   29.1000000000 0.6191833728 
 0   29.2000000000 0.6086195879 
 0   29.3000000000 0.5981471804 
 0   29.4000000000 0.5877713883 
 0   29.5000000000 0.5774970871 
 0   29.6000000000 0.5673287927 
 0   29.7000000000 0.5572706683 
 0   29.8000000000 0.5473265308 
 0   29.9000000000 0.5374998585 
 0   30.0000000000 0.5277938007 
 0   30.1000000000 0.5182111871 
 0   30.2000000000 0.5087545376 
 0   30.3000000000 0.4994260743 
 0   30.4000000000 0.4902277318 
 0   30.5000000000 0.4811611691 
 0   30.6000000000 0.4722277822 
 0   30.7000000000 0.4634287152 
 0   30.8000000000 0.4547648729 
 0   30.9000000000 0.4462369328 
